ngram,log_odds,count_top,count_bot
heady,1.8203147136035778,4,1
floor vision,1.8203147136035778,4,1
still get,1.8203147136035778,4,1
please check,1.8203147136035778,4,1
clip 12,1.8203147136035778,4,1
paint shows,1.8203147136035778,4,1
sloppy,1.8203147136035778,4,1
puts forth,1.8203147136035778,4,1
equal,1.8203147136035778,4,1
repeatable,1.8203147136035778,4,1
please,1.8203147136035778,4,1
1 blocks,1.8203147136035778,4,1
combines,1.8203147136035778,4,1
may limit,1.8203147136035778,4,1
upped,1.8203147136035778,4,1
late blooming,1.8203147136035778,4,1
formidable,1.8203147136035778,4,1
low scorer,1.8203147136035778,4,1
team mini,1.8203147136035778,4,1
driving ability,1.8203147136035778,4,1
court offense,1.8203147136035778,4,1
better rebounder,1.8203147136035778,4,1
242,1.8203147136035778,4,1
overall offensive,1.8203147136035778,4,1
mini camp,1.8203147136035778,4,1
3 15,1.8203147136035778,4,1
outside jumper,1.8203147136035778,4,1
3 16,1.8203147136035778,4,1
ambidexterity,1.8203147136035778,4,1
126,1.8203147136035778,4,1
overall speed,1.8203147136035778,4,1
1 48,1.8203147136035778,4,1
handful,1.8203147136035778,4,1
high vertical,1.8203147136035778,4,1
biting,1.8203147136035778,4,1
hands good,1.8203147136035778,4,1
influence,1.8203147136035778,4,1
season aran,1.8203147136035778,4,1
strength weaknesses,1.8203147136035778,4,1
40 percent,1.8203147136035778,4,1
pivot,1.8203147136035778,4,1
nevada,1.8203147136035778,4,1
6 bpg,1.8203147136035778,4,1
lead scout,1.8203147136035778,4,1
draft weaknesses,1.8203147136035778,4,1
higher levels,1.8203147136035778,4,1
ultra,1.8203147136035778,4,1
want,1.7354079195365681,15,4
top 10,1.7354079195365681,15,4
5 6,1.7354079195365681,15,4
pps,1.7228284594281522,26,7
mind,1.702103108197118,11,3
espn,1.702103108197118,11,3
reflexes,1.702103108197118,11,3
hype,1.702103108197118,11,3
blk pf,1.6671991175609637,50,14
season team,1.6671991175609637,50,14
stl blk,1.6671991175609637,50,14
fta 3pm,1.666255275359532,25,7
ft 3p,1.666255275359532,25,7
elite level,1.666255275359532,25,7
3pa pts,1.666255275359532,25,7
pts reb,1.666255275359532,25,7
3pm,1.666255275359532,25,7
team gp,1.666255275359532,25,7
tot,1.666255275359532,25,7
min fg,1.666255275359532,25,7
fga ftm,1.666255275359532,25,7
min pts,1.666255275359532,25,7
def tot,1.666255275359532,25,7
tot ast,1.666255275359532,25,7
fg fga,1.666255275359532,25,7
def,1.666255275359532,25,7
reb ast,1.666255275359532,25,7
3pm 3pa,1.666255275359532,25,7
team min,1.666255275359532,25,7
pf fg,1.666255275359532,25,7
3p pps,1.666255275359532,25,7
gp min,1.666255275359532,25,7
2006,1.6602165072270214,32,9
7 6,1.6359290571092817,14,4
vocal,1.6359290571092817,14,4
59,1.6359290571092817,14,4
182,1.633308922677923,7,2
1 25,1.633308922677923,7,2
range shooter,1.633308922677923,7,2
readiness,1.633308922677923,7,2
pretty good,1.633308922677923,7,2
perimeter shooting,1.633308922677923,7,2
top notch,1.633308922677923,7,2
6 apg,1.633308922677923,7,2
get past,1.633308922677923,7,2
hgt,1.633308922677923,7,2
tenacity,1.633308922677923,7,2
incoming,1.633308922677923,7,2
