ngram,log_odds,count_top,count_bot
range shooter,1.613116068932376,7,2
sustain,1.613116068932376,7,2
164,1.613116068932376,7,2
game winning,1.613116068932376,7,2
big time,1.613116068932376,7,2
superb,1.613116068932376,7,2
doubt,1.613116068932376,7,2
solid shot,1.613116068932376,7,2
shots per,1.613116068932376,7,2
shot 40,1.613116068932376,7,2
stretch four,1.613116068932376,7,2
dramatic,1.613116068932376,7,2
topg,1.613116068932376,7,2
fouls per,1.613116068932376,7,2
1 14,1.613116068932376,7,2
basket game,1.613116068932376,7,2
rebounding ability,1.613116068932376,7,2
2013 14,1.613116068932376,7,2
la,1.613116068932376,7,2
maintaining,1.613116068932376,7,2
readiness,1.613116068932376,7,2
still learning,1.613116068932376,7,2
hgt w,1.613116068932376,7,2
189,1.613116068932376,7,2
four man,1.613116068932376,7,2
academy aran,1.613116068932376,7,2
slightly undersized,1.613116068932376,7,2
elite level,1.587178017843419,24,7
americas,1.587178017843419,24,7
4 7,1.5744745247381218,17,5
gp,1.5469166784297723,30,9
53,1.5462798648755172,20,6
tunnel vision,1.5445254071253984,10,3
bigtime,1.5445254071253984,10,3
frequently,1.5445254071253984,10,3
mediocre,1.5445254071253984,10,3
tunnel,1.5445254071253984,10,3
want,1.5445254071253984,10,3
perimeter players,1.5445254071253984,10,3
showcase,1.5445254071253984,10,3
9 8,1.5445254071253984,10,3
massive,1.5445254071253984,10,3
unnecessary,1.5445254071253984,10,3
u18 americas,1.5445254071253984,10,3
couple,1.5445254071253984,10,3
halfcourt,1.5445254071253984,10,3
pts,1.5333096070849699,66,20
1 2,1.5305706566434392,56,17
fiba,1.5088873449868796,13,4
61,1.5088873449868796,13,4
eye,1.5088873449868796,13,4
clip 3,1.5088873449868796,13,4
looked,1.5088873449868796,13,4
youth,1.5088873449868796,13,4
9 0,1.5022710171776232,42,13
3pa,1.4980119866582289,29,9
5 0,1.4980119866582289,29,9
2010,1.4928317545738299,77,24
stage,1.4870530244464568,16,5
seem,1.4870530244464568,16,5
vocal,1.4870530244464568,16,5
uk,1.4870530244464568,16,5
0 4,1.4723055621907264,19,6
2 2,1.4625436470937032,44,14
americas championship,1.4616784239888325,22,7
3 2,1.453658240461321,25,8
per 40,1.453658240461321,25,8
2009,1.4467241174107333,87,28
pf,1.3958857338975754,69,23
2 0,1.3953472214873361,39,13
steps,1.394333544115204,18,6
3 wingspan,1.394333544115204,18,6
keeping,1.394333544115204,18,6
long range,1.3939920265007029,15,5
blocked,1.3934908672075785,12,4
board,1.3934908672075785,12,4
continued,1.3934908672075785,12,4
59,1.3934908672075785,12,4
possible,1.3934908672075785,12,4
featured,1.3934908672075785,12,4
84,1.3934908672075785,12,4
read,1.3926707776188376,9,3
leaping skills,1.3926707776188376,9,3
3 8,1.3926707776188376,9,3
6 rpg,1.3926707776188376,9,3
past year,1.3926707776188376,9,3
oriented,1.3926707776188376,9,3
dedication,1.3926707776188376,9,3
notch,1.3926707776188376,9,3
thick,1.3926707776188376,9,3
coachable,1.3926707776188376,9,3
arch,1.3926707776188376,9,3
jab,1.3926707776188376,9,3
aau,1.3926707776188376,9,3
essential,1.3910549494318527,6,2
several,1.3910549494318527,6,2
bright,1.3910549494318527,6,2
turnaround jumper,1.3910549494318527,6,2
oklahoma,1.3910549494318527,6,2
181,1.3910549494318527,6,2
moving forward,1.3910549494318527,6,2
causing,1.3910549494318527,6,2
authority,1.3910549494318527,6,2
boxes,1.3910549494318527,6,2
great ability,1.3910549494318527,6,2
category,1.3910549494318527,6,2
opening,1.3910549494318527,6,2
strictly,1.3910549494318527,6,2
speeds,1.3910549494318527,6,2
could potentially,1.3910549494318527,6,2
jump hooks,1.3910549494318527,6,2
123,1.3910549494318527,6,2
worth,1.3910549494318527,6,2
9 7,1.3910549494318527,6,2
isolation situations,1.3910549494318527,6,2
mini,1.3910549494318527,6,2
big shots,1.3910549494318527,6,2
detail,1.3910549494318527,6,2
exhibits,1.3910549494318527,6,2
found,1.3910549494318527,6,2
back jumper,1.3910549494318527,6,2
shots well,1.3910549494318527,6,2
san,1.3910549494318527,6,2
full speed,1.3910549494318527,6,2
img,1.3910549494318527,6,2
pay,1.3910549494318527,6,2
william,1.3910549494318527,6,2
check,1.3910549494318527,6,2
7 feet,1.3910549494318527,6,2
big hands,1.3910549494318527,6,2
weaknesses despite,1.3910549494318527,6,2
shows nice,1.3910549494318527,6,2
missed shots,1.3910549494318527,6,2
assertive,1.3910549494318527,6,2
converted,1.3910549494318527,6,2
load,1.3910549494318527,6,2
show much,1.3910549494318527,6,2
6 apg,1.3910549494318527,6,2
usa u18,1.3910549494318527,6,2
ast,1.3738104084323677,65,22
reb,1.3507773133707754,32,11
giving,1.340493085855691,26,9
unc,1.3119068366334208,17,6
proven,1.3119068366334208,17,6
underrated,1.2945133383549976,14,5
com,1.2945133383549976,14,5
possession,1.2945133383549976,14,5
7 2,1.2907137615472095,53,19
40 minutes,1.2839200760998946,25,9
colorado,1.2680575183935208,11,4
wiry,1.2680575183935208,11,4
unorthodox,1.2680575183935208,11,4
national team,1.2680575183935208,11,4
hype,1.2680575183935208,11,4
u16 americas,1.2680575183935208,11,4
game shows,1.2680575183935208,11,4
0 9,1.2576746183978553,30,11
5 2,1.2576746183978553,30,11
u18,1.2502428081799444,19,7
usa,1.225545902958359,40,15
4 0,1.2250387542499332,24,9
asset,1.222934247824245,8,3
first rounder,1.222934247824245,8,3
risk,1.222934247824245,8,3
blocks shots,1.222934247824245,8,3
regular,1.222934247824245,8,3
11 1,1.222934247824245,8,3
1 3pt,1.222934247824245,8,3
