ngram,log_odds,count_top,count_bot
good instincts,1.4845705732208678,8,3
3 per,1.4845705732208678,8,3
0 lbs,1.4845705732208678,8,3
u19,1.4493243194932628,13,5
8 lbs,1.4493243194932628,13,5
considered,1.4253559487131007,23,9
nation,1.4253559487131007,23,9
gain,1.393091249441138,15,6
year career,1.39231795078579,10,4
high rate,1.39231795078579,10,4
tempo,1.39231795078579,10,4
cutter,1.39231795078579,10,4
giving,1.39231795078579,10,4
good vision,1.3901111748049253,5,2
rated,1.3901111748049253,5,2
product,1.3901111748049253,5,2
mold,1.3901111748049253,5,2
scoring threat,1.3901111748049253,5,2
man skills,1.3901111748049253,5,2
nike big,1.3901111748049253,5,2
erratic,1.3901111748049253,5,2
hard working,1.3901111748049253,5,2
alongside,1.3901111748049253,5,2
body type,1.3901111748049253,5,2
2016 draft,1.3901111748049253,5,2
world cup,1.3901111748049253,5,2
ally oops,1.3901111748049253,5,2
great body,1.3901111748049253,5,2
severely,1.3901111748049253,5,2
dime,1.3901111748049253,5,2
makings,1.3901111748049253,5,2
scene,1.3901111748049253,5,2
raising,1.3901111748049253,5,2
glaring,1.3901111748049253,5,2
explosive leaper,1.3901111748049253,5,2
plays like,1.3901111748049253,5,2
200,1.3901111748049253,5,2
equally,1.3901111748049253,5,2
223,1.3901111748049253,5,2
212,1.3901111748049253,5,2
mass,1.3901111748049253,5,2
without much,1.3901111748049253,5,2
2 steals,1.3901111748049253,5,2
level due,1.3901111748049253,5,2
prolific scorer,1.3901111748049253,5,2
charges,1.3901111748049253,5,2
averaged 7,1.3901111748049253,5,2
initiator,1.3901111748049253,5,2
6 rebounds,1.3901111748049253,5,2
lacks elite,1.3901111748049253,5,2
flashy,1.3901111748049253,5,2
relentless,1.3901111748049253,5,2
showcase,1.3901111748049253,5,2
belmont,1.3901111748049253,5,2
cup,1.3901111748049253,5,2
u19 tryouts,1.3901111748049253,5,2
36 5,1.3901111748049253,5,2
also shows,1.3901111748049253,5,2
draws,1.3515192633985045,17,7
quality,1.3450630408085864,29,12
lbs 6,1.3348882631027905,24,10
individual,1.3339220624010544,12,5
jumpshot,1.3195251598528799,19,8
quick first,1.3129650703361282,26,11
appears,1.3068353822013616,40,17
second round,1.2941362309930664,21,9
body strength,1.2941362309930664,21,9
smaller defenders,1.2936067817492702,14,6
highlight,1.2936067817492702,14,6
experienced,1.2936067817492702,14,6
contact well,1.2921653297975215,7,3
following,1.2921653297975215,7,3
fully,1.2921653297975215,7,3
128,1.2921653297975215,7,3
outs,1.2921653297975215,7,3
hits,1.2921653297975215,7,3
