ngram,log_odds,count_top,count_bot
much offensively,1.8171254418646612,4,1
great rebounding,1.8171254418646612,4,1
rashard,1.8171254418646612,4,1
scene,1.8171254418646612,4,1
going forward,1.8171254418646612,4,1
7 14,1.8171254418646612,4,1
glass hard,1.8171254418646612,4,1
lineup,1.8171254418646612,4,1
valued,1.8171254418646612,4,1
1 48,1.8171254418646612,4,1
westbrook,1.8171254418646612,4,1
3 games,1.8171254418646612,4,1
lightning quick,1.8171254418646612,4,1
thrown,1.8171254418646612,4,1
2019 tomes,1.8171254418646612,4,1
rim uses,1.8171254418646612,4,1
proving,1.8171254418646612,4,1
direction well,1.8171254418646612,4,1
inch vert,1.8171254418646612,4,1
3 offensive,1.8171254418646612,4,1
cleaning,1.8171254418646612,4,1
ago,1.8171254418646612,4,1
decent rebounder,1.8171254418646612,4,1
midrange shooter,1.8171254418646612,4,1
35 9,1.8171254418646612,4,1
regard,1.8171254418646612,4,1
left shoulder,1.8171254418646612,4,1
college outlook,1.8171254418646612,4,1
good combination,1.8171254418646612,4,1
sky,1.8171254418646612,4,1
scored 19,1.8171254418646612,4,1
typically,1.8171254418646612,4,1
wingspan 30,1.8171254418646612,4,1
inferior,1.8171254418646612,4,1
223 lbs,1.8171254418646612,4,1
chest,1.8171254418646612,4,1
13 1,1.8171254418646612,4,1
3 19,1.8171254418646612,4,1
ambidexterity,1.8171254418646612,4,1
3pt 5,1.8171254418646612,4,1
season overall,1.8171254418646612,4,1
tad,1.8171254418646612,4,1
gain separation,1.8171254418646612,4,1
extreme,1.8171254418646612,4,1
season averaging,1.8171254418646612,4,1
drop step,1.8171254418646612,4,1
116,1.8171254418646612,4,1
242,1.8171254418646612,4,1
call,1.8171254418646612,4,1
contort,1.8171254418646612,4,1
wingspan allows,1.8171254418646612,4,1
3 seasons,1.8171254418646612,4,1
rush,1.8171254418646612,4,1
solid body,1.8171254418646612,4,1
reward,1.8171254418646612,4,1
96,1.8171254418646612,4,1
command,1.8171254418646612,4,1
rim plays,1.8171254418646612,4,1
gets great,1.8171254418646612,4,1
titles,1.8171254418646612,4,1
low scorer,1.8171254418646612,4,1
combines,1.8171254418646612,4,1
benefited,1.8171254418646612,4,1
2019 outlook,1.8171254418646612,4,1
state freshman,1.8171254418646612,4,1
emotion,1.8171254418646612,4,1
points 3,1.8171254418646612,4,1
shoes 193,1.8171254418646612,4,1
consistent jump,1.8171254418646612,4,1
clip 11,1.8171254418646612,4,1
intensity level,1.8171254418646612,4,1
11 youtube,1.8171254418646612,4,1
smarter,1.8171254418646612,4,1
220 lbs,1.8171254418646612,4,1
big question,1.8171254418646612,4,1
urgency,1.8171254418646612,4,1
loses focus,1.8171254418646612,4,1
solid playmaker,1.8171254418646612,4,1
14 4,1.8171254418646612,4,1
competes hard,1.8171254418646612,4,1
popic 5,1.8171254418646612,4,1
5 star,1.8171254418646612,4,1
6 standing,1.8171254418646612,4,1
recording,1.8171254418646612,4,1
still extremely,1.8171254418646612,4,1
pronounced,1.8171254418646612,4,1
clip 10,1.8171254418646612,4,1
orpg,1.8171254418646612,4,1
points 6,1.8171254418646612,4,1
10 pick,1.8171254418646612,4,1
needs time,1.8171254418646612,4,1
questioned,1.8171254418646612,4,1
fga,1.780963294961948,31,8
season team,1.7750650910909354,54,14
blk pf,1.7750650910909354,54,14
stl blk,1.7750650910909354,54,14
team min,1.7740773157300076,27,7
3pa pts,1.7740773157300076,27,7
tot ast,1.7740773157300076,27,7
def tot,1.7740773157300076,27,7
reb ast,1.7740773157300076,27,7
pf fg,1.7740773157300076,27,7
min pts,1.7740773157300076,27,7
team gp,1.7740773157300076,27,7
min fg,1.7740773157300076,27,7
3pm 3pa,1.7740773157300076,27,7
