player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,VORP,PLAYER_ID,PLAYER_NAME
Wesley Matthews,2009,53,Shooting Guard,202083.0,2013-14,3.7,82.0,33.9,16.4,3.5,2.4,0.9,0.2,0.441,0.393,0.837,5.4,12.3,2.5,6.2,3.1,3.7,0.6,2.9,1.3,2.1,POR,ok,2.7,202083.0,Wesley Matthews
Jodie Meeks,2009,54,Shooting Guard,201975.0,2011-12,2.9,66.0,24.9,8.4,2.4,0.8,0.6,0.0,0.409,0.365,0.906,2.9,7.1,1.5,4.0,1.2,1.3,0.3,2.2,0.4,1.2,PHI,ok,0.5,201975.0,Jodie Meeks
Terrel Harris,2009,55,Shooting Guard,202227.0,2012-13,-0.1,20.0,6.9,0.8,1.3,0.5,0.1,0.2,0.148,0.0,0.7,0.2,1.4,0.0,0.4,0.4,0.5,0.2,1.1,0.9,0.9,NOH,ok,-0.4,202227.0,Terrel Harris
Chris Johnsonn,2009,56,Power Forward/Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Sergii Gladyr,2009,57,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
AJ Price,2009,58,Point Guard,201985.0,2009-10,0.9,56.0,15.5,7.3,1.6,1.9,0.6,0.1,0.41,0.345,0.8,2.6,6.3,1.1,3.1,1.1,1.3,0.2,1.4,1.1,0.9,IND,ok,0.3,201985.0,AJ Price
Vitor Faverani,2009,59,Power Forward/Center,203543.0,2013-14,-2.6,37.0,13.2,4.4,3.5,0.4,0.4,0.7,0.435,0.3,0.649,1.7,4.0,0.3,1.1,0.6,1.0,1.1,2.3,1.1,2.0,BOS,ok,,203543.0,Vitor Faverani
Courtney Fells,2009,60,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Lee Cummard,2009,61,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Alonzo Gee,2009,62,Shooting Guard,202087.0,2009-10,-0.5,11.0,16.5,7.4,3.0,0.6,0.6,0.1,0.475,0.778,0.621,2.5,5.4,0.6,0.8,1.6,2.6,1.4,1.6,0.9,1.2,WAS,ok,0.2,202087.0,Alonzo Gee
Garret Siler,2009,63,Center,202081.0,2010-11,-0.8,21.0,4.8,2.1,1.3,0.1,0.0,0.2,0.548,0.0,0.5,0.8,1.5,0.0,0.0,0.5,1.0,0.8,0.6,0.5,1.0,PHX,ok,-0.1,202081.0,Garret Siler
Alex Ruoff,2009,64,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Milenko Tepic,2009,65,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Christian Eyenga,2009,66,Shooting Guard/Small Forward,201963.0,2010-11,-4.6,44.0,21.5,6.9,2.8,0.8,0.8,0.6,0.425,0.275,0.643,3.0,7.0,0.6,2.1,0.4,0.6,0.6,2.2,1.1,1.8,CLE,ok,-0.5,201963.0,Christian Eyenga
Emir Preldzic,2009,67,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Henk Norel,2009,68,Power Forward/Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Paul Harris,2009,69,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Chinemelu Elonu,2009,70,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Jon Brockman,2009,71,Power Forward,201972.0,2010-11,0.6,63.0,10.8,2.2,2.9,0.3,0.2,0.0,0.511,0.0,0.678,0.8,1.5,0.0,0.0,0.6,0.9,1.2,1.7,0.4,1.9,MIL,ok,-0.3,201972.0,Jon Brockman
Nando De Colo,2009,72,Point Guard/Shooting Guard,201986.0,2013-14,0.0,47.0,10.5,3.8,1.6,1.4,0.5,0.1,0.418,0.34,0.886,1.4,3.3,0.4,1.1,0.7,0.7,0.3,1.3,0.7,1.0,TOR,ok,0.3,201986.0,Nando De Colo
Jack McClinton,2009,73,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Stefon Jackson,2009,74,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Alade Aminu,2009,75,Small Forward/Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Josh Akognon,2009,76,Point Guard,203006.0,2012-13,-1.7,3.0,2.9,1.7,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.7,1.3,0.3,0.7,0.0,0.0,0.0,0.3,0.0,1.0,DAL,ok,0.0,203006.0,Josh Akognon
Brandon Costner,2009,77,Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Lester Hudson,2009,78,Point Guard/Shooting Guard,201991.0,2009-10,0.6,25.0,5.3,2.3,0.7,0.5,0.3,0.1,0.396,0.313,0.846,0.8,2.1,0.2,0.6,0.4,0.5,0.3,0.4,0.6,0.5,MEM,ok,0.0,201991.0,Lester Hudson
Robert Vaden,2009,79,Shooting Guard,201987.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,,
Micah Downs,2009,80,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Daniel Hackett,2009,81,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Luke Nevill,2009,82,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
AJ Abrams,2009,83,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Josh Shipp,2009,84,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Dominic James,2009,85,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Jeremy Pargo,2009,86,Point Guard,202951.0,2011-12,-2.7,44.0,9.6,2.9,0.8,1.3,0.3,0.0,0.333,0.263,0.593,1.1,3.4,0.2,0.9,0.4,0.6,0.3,0.6,1.0,1.0,MEM,ok,-0.6,202951.0,Jeremy Pargo
Russell Hicks,2009,87,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Patrick Beverly,2009,88,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Josh Carter,2009,89,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
