player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,PLAYER_ID,PLAYER_NAME
Victor Claver,2009.0,26.0,Small Forward,201964.0,2013-14,1.1,21.0,8.7,2.2,1.9,0.6,0.1,0.1,0.405,0.167,0.909,0.8,2.0,0.1,0.9,0.5,0.5,0.4,1.4,0.5,0.8,POR,ok,201964.0,Victor Claver
Taj Gibson,2009.0,27.0,Power Forward,201959.0,2011-12,4.7,63.0,20.4,7.7,5.3,0.7,0.4,1.3,0.495,0.0,0.622,3.2,6.4,0.0,0.0,1.3,2.1,2.1,3.1,1.0,2.1,CHI,ok,201959.0,Taj Gibson
Darren Collison,2009.0,28.0,Point Guard,201954.0,2013-14,2.7,80.0,25.9,11.4,2.4,3.7,1.2,0.2,0.467,0.376,0.857,4.1,8.7,0.9,2.4,2.4,2.8,0.6,1.8,1.7,1.9,LAC,ok,201954.0,Darren Collison
Toney Douglas,2009.0,29.0,Point Guard/Shooting Guard,201962.0,2012-13,1.5,71.0,18.1,7.5,1.9,2.1,1.0,0.0,0.403,0.38,0.905,2.6,6.6,1.2,3.0,1.1,1.2,0.5,1.5,1.1,2.0,SAC,ok,201962.0,Toney Douglas
Sam Young,2009.0,30.0,Small Forward,201970.0,2010-11,1.0,78.0,20.2,7.3,2.4,0.9,0.9,0.3,0.472,0.34,0.767,3.0,6.3,0.2,0.6,1.1,1.5,0.5,1.9,0.8,1.5,MEM,ok,201970.0,Sam Young
Jrue Holiday,2009.0,31.0,Point Guard/Shooting Guard,201950.0,2011-12,3.3,65.0,33.8,13.5,3.3,4.5,1.6,0.3,0.432,0.38,0.783,5.5,12.8,1.0,2.6,1.4,1.8,0.9,2.4,2.1,2.1,PHI,ok,201950.0,Jrue Holiday
Dionte Christmas,2009.0,32.0,Shooting Guard,202091.0,2013-14,-0.7,31.0,6.4,2.3,1.2,0.3,0.1,0.1,0.355,0.29,0.75,0.7,2.0,0.3,1.0,0.6,0.8,0.4,0.8,0.2,0.6,PHX,ok,202091.0,Dionte Christmas
Jonas Jerebko,2009.0,33.0,Small Forward,201973.0,2013-14,-1.4,64.0,11.6,4.2,2.7,0.6,0.3,0.1,0.471,0.419,0.729,1.5,3.3,0.5,1.2,0.7,0.9,0.8,1.9,0.7,1.3,DET,ok,201973.0,Jonas Jerebko
Jermaine Taylor,2009.0,34.0,Shooting Guard,201966.0,2010-11,-2.9,34.0,14.2,6.6,1.8,0.9,0.4,0.1,0.48,0.311,0.75,2.8,5.8,0.4,1.3,0.6,0.8,0.8,1.1,1.4,1.1,SAC,ok,201966.0,Jermaine Taylor
Patrick Mills,2009.0,35.0,Point Guard,201988.0,2013-14,4.2,81.0,18.9,10.2,2.1,1.8,0.8,0.1,0.464,0.425,0.89,3.8,8.2,1.7,3.9,0.9,1.0,0.4,1.7,0.8,1.4,SAS,recovered:last_unique,201988.0,Patty Mills
Marcus Thornton,2009.0,36.0,Shooting Guard,201977.0,2013-14,-0.4,72.0,24.2,9.8,2.8,1.1,0.8,0.2,0.394,0.345,0.804,3.5,8.9,1.5,4.4,1.3,1.6,0.8,2.0,0.9,1.5,BKN,ok,201977.0,Marcus Thornton
Josh Heytvelt,2009.0,37.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Austin Daye,2009.0,38.0,Small Forward,201948.0,2012-13,0.4,55.0,12.3,4.5,2.2,0.8,0.3,0.4,0.433,0.418,0.765,1.6,3.8,0.7,1.8,0.5,0.6,0.3,1.9,0.5,1.5,MEM,ok,201948.0,Austin Daye
Jeff Pendergraph,2009.0,39.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Rodrigue Beaubois,2009.0,40.0,Point Guard,201958.0,2009-10,1.0,56.0,12.5,7.1,1.4,1.3,0.5,0.2,0.518,0.409,0.808,2.8,5.3,0.8,2.0,0.8,0.9,0.2,1.2,1.0,1.5,DAL,ok,201958.0,Rodrigue Beaubois
Curtis Jerrells,2009.0,41.0,Point Guard,201998.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,
Nick Calathes,2009.0,42.0,Point Guard,201979.0,2013-14,0.3,71.0,16.5,4.9,1.9,2.9,0.9,0.1,0.457,0.311,0.611,2.0,4.4,0.3,0.9,0.6,1.0,0.3,1.6,1.4,1.6,MEM,ok,201979.0,Nick Calathes
Jerel McNeal,2009.0,43.0,Shooting Guard,202077.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,
Jeff Adrien,2009.0,44.0,Power Forward,202399.0,2010-11,0.1,23.0,8.5,2.5,2.5,0.4,0.2,0.2,0.426,0.0,0.579,1.0,2.3,0.0,0.0,0.5,0.8,1.0,1.5,0.4,1.2,GSW,ok,202399.0,Jeff Adrien
Leo Lyons,2009.0,45.0,Small Forward/Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Dante Cunningham,2009.0,46.0,Small Forward/Power Forward,201967.0,2009-10,0.7,63.0,11.2,3.9,2.5,0.2,0.4,0.3,0.495,0.0,0.646,1.7,3.4,0.0,0.0,0.5,0.8,0.9,1.7,0.2,1.5,POR,ok,201967.0,Dante Cunningham
Robert Dozier,2009.0,47.0,Small Forward/Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Danny Green,2009.0,48.0,Small Forward,201980.0,2013-14,4.9,68.0,24.3,9.1,3.4,1.5,1.0,0.9,0.432,0.415,0.794,3.2,7.4,1.9,4.7,0.7,0.9,0.4,3.0,1.1,1.6,SAS,ok,201980.0,Danny Green
Tyrese Rice,2009.0,49.0,Point Guard,201985.0,2009-10,0.9,56.0,15.5,7.3,1.6,1.9,0.6,0.1,0.41,0.345,0.8,2.6,6.3,1.1,3.1,1.1,1.3,0.2,1.4,1.1,0.9,IND,recovered:last_fuzzy,201985.0,AJ Price
DeMarre Carroll,2009.0,50.0,Small Forward/Power Forward,201960.0,2012-13,1.8,66.0,16.8,6.0,2.8,0.9,0.9,0.4,0.46,0.286,0.765,2.3,4.9,0.3,1.1,1.1,1.5,1.3,1.5,0.5,1.8,UTA,ok,201960.0,DeMarre Carroll
Vyacheslav Kravtsov,2009.0,51.0,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Sergio Llull,2009.0,52.0,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Wesley Matthews,2009.0,53.0,Shooting Guard,202083.0,2013-14,3.7,82.0,33.9,16.4,3.5,2.4,0.9,0.2,0.441,0.393,0.837,5.4,12.3,2.5,6.2,3.1,3.7,0.6,2.9,1.3,2.1,POR,ok,202083.0,Wesley Matthews
Jodie Meeks,2009.0,54.0,Shooting Guard,201975.0,2011-12,2.9,66.0,24.9,8.4,2.4,0.8,0.6,0.0,0.409,0.365,0.906,2.9,7.1,1.5,4.0,1.2,1.3,0.3,2.2,0.4,1.2,PHI,ok,201975.0,Jodie Meeks
Terrel Harris,2009.0,55.0,Shooting Guard,202227.0,2012-13,-0.1,20.0,6.9,0.8,1.3,0.5,0.1,0.2,0.148,0.0,0.7,0.2,1.4,0.0,0.4,0.4,0.5,0.2,1.1,0.9,0.9,NOH,ok,202227.0,Terrel Harris
Chris Johnsonn,2009.0,56.0,Power Forward/Center,202419.0,2012-13,-0.8,30.0,9.5,3.9,2.0,0.3,0.2,0.9,0.64,0.0,0.618,1.6,2.5,0.0,0.0,0.7,1.1,0.7,1.3,0.4,1.6,MIN,recovered:full_fuzzy,202419.0,Chris Johnson
Sergii Gladyr,2009.0,57.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
AJ Price,2009.0,58.0,Point Guard,201985.0,2009-10,0.9,56.0,15.5,7.3,1.6,1.9,0.6,0.1,0.41,0.345,0.8,2.6,6.3,1.1,3.1,1.1,1.3,0.2,1.4,1.1,0.9,IND,ok,201985.0,AJ Price
Vitor Faverani,2009.0,59.0,Power Forward/Center,203543.0,2013-14,-2.6,37.0,13.2,4.4,3.5,0.4,0.4,0.7,0.435,0.3,0.649,1.7,4.0,0.3,1.1,0.6,1.0,1.1,2.3,1.1,2.0,BOS,ok,203543.0,Vitor Faverani
Courtney Fells,2009.0,60.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Lee Cummard,2009.0,61.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
