 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/07/2014


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"149","Tymell Murphy","FIU","Sr.","6-5","F","31","198","13","107","516","16.6"
"150","Johnny Dee","San Diego","Jr.","6-0","G","35","184","94","120","582","16.6"
"151","J.J. Avila","Colorado St.","Jr.","6-7","F","32","186","24","136","532","16.6"
"152","Mikh McKinney","Sacramento St.","Jr.","6-1","G","30","173","38","114","498","16.6"
"153","Chris Hansen","Idaho St.","Jr.","6-4","F","29","150","80","101","481","16.6"
"154","Richard Carter","Drake","Sr.","5-11","G","31","157","42","158","514","16.6"
"","Marvin Dominique","Saint Peter's","Jr.","6-7","F","31","190","34","100","514","16.6"
"156","Jarvis Haywood","Jacksonville","So.","6-4","G","26","149","33","100","431","16.6"
"157","Buddy Hield","Oklahoma","So.","6-4","G","33","196","90","63","545","16.5"
"158","C.J. Fair","Syracuse","Sr.","6-8","F","34","217","24","103","561","16.5"
"159","Jaron Lane","UNC Asheville","Sr.","6-4","F","32","168","36","155","527","16.5"
"160","Kevin Bailey","Portland","Jr.","6-5","G","24","131","31","102","395","16.5"
"161","Adreian Payne","Michigan St.","Sr.","6-10","F","31","178","44","109","509","16.4"
"162","Cleanthony Early","Wichita St.","Sr.","6-8","F","36","187","66","151","591","16.4"
"163","Kellen Dunham","Butler","So.","6-6","G","31","164","78","102","508","16.4"
"164","Daniel Bejarano","Colorado St.","Jr.","6-4","G","32","164","61","134","523","16.3"
"165","Will Neighbour","Little Rock","Sr.","6-10","F","25","131","25","121","408","16.3"
"166","Kareem Canty","Marshall","Fr.","6-1","G","33","187","65","99","538","16.3"
"167","Brandon Edwards","UT Arlington","Sr.","6-6","F","32","173","41","134","521","16.3"
"","Brandon Young","DePaul","Sr.","6-4","G","32","178","29","136","521","16.3"
"169","Nick Johnson","Arizona","Jr.","6-3","G","38","205","62","146","618","16.3"
"170","Matthew Wright","St. Bonaventure","Sr.","6-4","G","32","164","68","124","520","16.3"
"171","Anthony Myles","Rider","Sr.","6-5","G","31","146","60","151","503","16.2"
"172","Tylor Ongwae","ULM","Jr.","6-7","F","27","152","27","107","438","16.2"
"173","Tré Bussey","Ga. Southern","Sr.","6-2","G","34","197","57","100","551","16.2"
"174","Ike Azotam","Quinnipiac","Sr.","6-7","F","32","196","0","126","518","16.2"
"","Mike Caffey","Long Beach St.","Jr.","6-0","G","32","185","42","106","518","16.2"
"176","Shayne Whittington","Western Mich.","Sr.","6-11","C","31","188","6","117","499","16.1"
"177","Javorn Farrell","UTRGV","Sr.","6-5","F","28","154","27","115","450","16.1"
"178","Victor Rudd","South Fla.","Sr.","6-9","F","32","180","33","121","514","16.1"
"179","Rodney Hood","Duke","So.","6-8","F","35","191","71","109","562","16.1"
"180","Tre' Coggins","Air Force","So.","6-2","G","27","146","72","69","433","16.0"
"181","Leantwan Luckett","Alcorn","Jr.","6-5","G","31","171","23","132","497","16.0"
"182","Alex Rosenberg","Columbia","Jr.","6-7","F","34","133","51","227","544","16.0"
"","Kendall Williams","New Mexico","Sr.","6-4","G","34","151","63","179","544","16.0"
"","Jordan Dykstra","South Dakota St.","Sr.","6-8","F","32","156","51","149","512","16.0"
"185","Josh Greene","CSUN","Sr.","6-0","G","35","156","78","169","559","16.0"
"186","Kendall Anthony","Richmond","Jr.","5-8","G","33","166","82","112","526","15.9"
"187","Anthony Drmic","Boise St.","Jr.","6-6","G","32","171","61","107","510","15.9"
"188","Dantrell Thomas","Nicholls","Sr.","6-2","G","29","150","14","148","462","15.9"
"189","Tyler Johnson","Fresno St.","Sr.","6-4","G","35","196","57","107","556","15.9"
"190","Scott Eatherton","Northeastern","Jr.","6-8","F","32","180","15","133","508","15.9"
"191","Travis Betran","Austin Peay","Sr.","6-3","G","30","147","75","107","476","15.9"
"192","Rayvonte Rice","Illinois","Jr.","6-4","G","35","192","46","125","555","15.9"
"193","Lucas Troutman","Elon","Sr.","6-10","F","31","185","1","119","490","15.8"
"194","Treveon Graham","VCU","Jr.","6-5","G","35","185","58","125","553","15.8"
"195","Elijah Wilson","Coastal Carolina","Fr.","6-4","G","34","200","51","86","537","15.8"
"196","Ian Chiles","IU Indy","Jr.","6-1","G","25","149","33","63","394","15.8"
"197","Lavonte Dority","Valparaiso","Sr.","6-1","G","34","163","64","145","535","15.7"
"198","Karl Cochran","Wofford","Jr.","6-1","G","33","193","78","54","518","15.7"
"199","Drew Crawford","Northwestern","Sr.","6-5","F","32","169","50","114","502","15.7"
"200","Craig Bradshaw","Belmont","So.","6-3","G","35","191","65","102","549","15.7"
"201","Ian Chiles","Morgan St.","Sr.","7-2","C","31","185","0","115","485","15.6"
"202","Cameron Clark","Oklahoma","Sr.","6-7","F","33","190","37","99","516","15.6"
"","Chaz Williams","Massachusetts","Sr.","5-9","G","33","162","54","138","516","15.6"
"204","Julysses Nobles","Jackson St.","Sr.","6-1","G","31","153","36","142","484","15.6"
"205","Sherrod Wright","George Mason","Sr.","6-4","G","31","162","28","131","483","15.6"
"206","Justin Cobbs","California","Sr.","6-2","G","35","185","32","143","545","15.6"
"207","Pendarvis Williams","Norfolk St.","Sr.","6-6","G","34","184","61","100","529","15.6"
"208","Alex Harris","Cal St. Fullerton","Jr.","6-1","G","27","126","54","114","420","15.6"
"209","Martin Smith","Lipscomb","Jr.","6-4","F","29","134","68","115","451","15.6"
"210","Rion Brown","Miami (FL)","Sr.","6-6","G","33","174","63","102","513","15.5"
"","Delon Wright","Utah","Jr.","6-5","G","33","174","12","153","513","15.5"
"212","James Woodard","Tulsa","So.","6-3","G","34","162","65","139","528","15.5"
"213","Malcolm Hawkins","Norfolk St.","Sr.","6-5","G","29","135","59","121","450","15.5"
"214","Peter Hooley","UAlbany","So.","6-4","G","33","143","71","155","512","15.5"
"215","Zaid Hearst","Quinnipiac","Jr.","6-4","G","32","147","43","159","496","15.5"
"216","Nick Kellogg","Ohio","Sr.","6-3","G","37","196","87","94","573","15.5"
"217","Aaron Bacote","Old Dominion","So.","6-5","G","35","163","56","160","542","15.5"
"218","T.J. Price","Western Ky.","Jr.","6-4","G","30","153","72","86","464","15.5"
"219","Johnny O'Bryant III","LSU","Jr.","6-9","F","34","203","1","118","525","15.4"
"220","Quenton DeCosey","Temple","So.","6-6","G","31","174","58","72","478","15.4"
"","Seth Tuttle","UNI","Jr.","6-8","F","31","156","9","157","478","15.4"
"222","Bryon Allen","George Mason","Sr.","6-3","G","29","156","43","92","447","15.4"
"223","Kyle Cain","UNC Greensboro","Jr.","6-7","F","32","201","9","82","493","15.4"
"224","Tashawn Thomas","Houston","Jr.","6-8","G","33","205","1","97","508","15.4"
"225","Larry Nance Jr.","Wyoming","Jr.","6-8","F","26","147","9","97","400","15.4"
"226","Cameron Ayers","Bucknell","Sr.","6-5","G","30","154","62","91","461","15.4"
"227","Quinton Upshur","Northern Ariz.","Jr.","6-5","G","32","158","73","102","491","15.3"
"228","Alec Brown","Green Bay","Sr.","7-1","C","30","165","42","88","460","15.3"
"229","Tomas Sanchez","Idaho St.","Sr.","6-3","G","29","126","59","133","444","15.3"
"230","Luis Jacobo","Purdue Fort Wayne","Sr.","6-5","F","33","171","74","89","505","15.3"
"231","Mark Nwakamma","Hartford","Jr.","6-6","F","31","171","13","118","473","15.3"
"232","Laquinton Ross","Ohio St.","Jr.","6-8","F","35","184","42","123","533","15.2"
"233","Daniel Stewart","Rider","Sr.","6-7","F","31","130","25","187","472","15.2"
"234","Stephen Holt","Saint Mary's (CA)","Sr.","6-4","G","34","148","58","162","516","15.2"
"","Demetrius Treadwell","Akron","Sr.","6-7","F","34","181","1","153","516","15.2"
"236","Tyreek Duren","La Salle","Sr.","6-0","G","31","147","58","118","470","15.2"
