Name,draft_year,draft_pick,position,Season,Team,Cl,Pos,Ht,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
DeMarcus Cousins,2010,7,Power Forward/Center,2009-2010,Kentucky,Fr.,F,6-11,38,206.0,1.0,162.0,575.0,15.1,369.0,55.8,,6.0,16.666666666666668,268.0,60.44776119402985,374.0,9.8,38.0,1.0,67.0,1.8,37.0,0.9736842105263158,78.0,,,20.0,,,154.0,220.0
Luke Babbitt,2010,8,Small Forward/Power Forward,2009-2010,Nevada,So.,F,6-9,34,251.0,42.0,199.0,743.0,21.9,502.0,50.0,,100.0,42.0,217.0,91.7,303.0,8.9,70.0,2.0588235294117645,26.0,0.7647058823529411,33.0,0.9705882352941176,79.0,,,16.0,,,68.0,225.0
Al-Farouq Aminu,2010,9,Small Forward,2009-2010,Wake Forest,So.,F,6-9,31,167.0,18.0,139.0,491.0,15.8,374.0,44.7,,66.0,27.272727272727273,199.0,69.84924623115577,332.0,10.7,41.0,1.3225806451612905,44.0,1.4,44.0,1.4193548387096775,99.0,,,19.0,,,133.0,199.0
Paul George,2010,10,Small Forward,2009-2010,Fresno St.,So.,F,6-8,29,154.0,59.0,120.0,487.0,16.8,363.0,42.4,2.0,163.0,36.19631901840491,132.0,90.9,210.0,7.2,86.0,2.9655172413793105,24.0,0.8275862068965517,64.0,2.2,89.0,,,,,,54.0,148.0
Xavier Henry,2010,12,Shooting Guard,2009-2010,Kansas,Fr.,G,6-6,36,162.0,69.0,90.0,483.0,13.416666666666666,354.0,45.76271186440678,1.9,165.0,41.81818181818182,115.0,78.3,157.0,4.361111111111111,53.0,1.4722222222222223,18.0,0.5,54.0,1.5,69.0,,,,,,43.0,114.0
Hassan Whiteside,2010,14,Center,2009-2010,Marshall,Fr.,C,7-0,34,167.0,3.0,110.0,447.0,13.147058823529411,319.0,52.35109717868338,,5.0,60.0,187.0,58.8235294117647,303.0,8.9,10.0,0.2941176470588235,182.0,5.4,19.0,0.5588235294117647,64.0,,3.0,15.0,,,92.0,211.0
Cole Aldrich,2010,15,Center,2009-2010,Kansas,Jr.,C,6-11,36,149.0,0.0,108.0,406.0,11.27777777777778,265.0,56.22641509433962,,0.0,,159.0,67.9245283018868,354.0,9.8,31.0,0.8611111111111112,125.0,3.5,27.0,0.75,56.0,,,15.0,,,110.0,244.0
Gordon Hayward,2010,16,Small Forward,2009-2010,Butler,So.,F,6-9,37,173.0,47.0,179.0,572.0,15.5,373.0,46.38069705093834,,160.0,29.375,216.0,82.9,305.0,8.2,62.0,1.6756756756756757,30.0,0.8108108108108109,40.0,1.0810810810810811,85.0,,,,,,72.0,233.0
Ekpe Udoh,2010,17,Power Forward,2009-2010,Baylor,Jr.,C,6-10,36,191.0,7.0,111.0,500.0,13.88888888888889,390.0,49.0,,26.0,26.923076923076923,162.0,68.51851851851852,351.0,9.8,97.0,2.6944444444444446,133.0,3.7,29.0,0.8055555555555556,87.0,,1.0,16.0,,,129.0,222.0
Devin Ebanks,2010,18,Small Forward,2009-2010,West Virginia,So.,F,6-9,34,144.0,3.0,117.0,408.0,12.0,315.0,45.714285714285715,,30.0,10.0,152.0,77.0,275.0,8.1,83.0,2.4411764705882355,23.0,0.6764705882352942,36.0,1.0588235294117647,75.0,,,,,,99.0,176.0
