Name,draft_year,draft_pick,position,Season,Team,Cl,Pos,Ht,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
Frank Mason,2017,39,Point Guard,2016-2017,Kansas,Sr.,G,5-11,36,241.0,82.0,189.0,753.0,20.9,492.0,49.0,2.28,174.0,47.12643678160919,238.0,79.4,150.0,4.166666666666667,187.0,5.2,2.0,0.0555555555555555,47.0,1.3055555555555556,86.0,2.17,,,1301:00,36:08,22.0,128.0
Semi Ojeleye,2017,40,Small Forward/Power Forward,2016-2017,SMU,Jr.,F,6-7,35,210.0,73.0,172.0,665.0,19.0,431.0,48.7,2.09,172.0,42.44186046511628,219.0,78.5,240.0,6.9,53.0,1.5142857142857142,14.0,0.4,15.0,0.4285714285714285,50.0,,,6.0,1195:00,34:08,80.0,160.0
Tyler Dorsey,2017,41,Shooting Guard,2016-2017,Oregon,So.,G,6-4,39,189.0,88.0,105.0,571.0,14.64102564102564,405.0,46.666666666666664,2.26,208.0,42.30769230769231,139.0,75.53956834532374,135.0,3.4615384615384617,67.0,1.7179487179487178,4.0,0.1025641025641025,30.0,0.7692307692307693,59.0,,,,1169:00,,33.0,102.0
Ike Anigbogu,2017,45,Center,2016-2017,UCLA,Fr.,C,6-10,29,57.0,0.0,23.0,137.0,4.724137931034483,101.0,56.43564356435643,,0.0,,43.0,53.48837209302326,117.0,4.0344827586206895,6.0,0.2068965517241379,35.0,1.21,5.0,0.1724137931034483,24.0,,,,,,41.0,76.0
Alec Peters,2017,46,Power Forward,2016-2017,Valparaiso,Sr.,F,6-9,29,218.0,58.0,172.0,666.0,23.0,468.0,46.6,,160.0,36.25,194.0,88.7,293.0,10.1,64.0,2.206896551724138,11.0,0.3793103448275862,23.0,0.7931034482758621,71.0,,,16.0,1019:00,35:08,74.0,219.0
Jaron Blossomgame,2017,47,Small Forward,2016-2017,Clemson,Sr.,F,6-7,33,220.0,24.0,120.0,584.0,17.7,441.0,49.9,,92.0,26.08695652173913,168.0,71.42857142857143,199.0,6.03030303030303,50.0,1.5151515151515151,27.0,0.8181818181818182,26.0,0.7878787878787878,55.0,,,,1133:00,34:20,58.0,141.0
Johnathan Motley,2017,48,Power Forward,2016-2017,Baylor,Jr.,F,6-10,34,226.0,9.0,128.0,589.0,17.3,433.0,52.2,,32.0,28.125,183.0,69.94535519125684,335.0,9.9,79.0,2.323529411764706,37.0,1.09,12.0,0.3529411764705882,100.0,,,15.0,,,126.0,209.0
Dwayne Bacon,2017,50,Shooting Guard/Small Forward,2016-2017,Florida St.,So.,G,6-7,35,221.0,57.0,104.0,603.0,17.2,489.0,45.2,,171.0,33.333333333333336,138.0,75.3623188405797,147.0,4.2,61.0,1.7428571428571429,4.0,0.1142857142857142,35.0,1.0,71.0,,,,,,35.0,112.0
Damyean Dotson,2017,51,Shooting Guard/Small Forward,2016-2017,Houston,Sr.,G,6-5,32,202.0,108.0,44.0,556.0,17.4,430.0,47.0,3.38,244.0,44.3,53.0,83.01886792452831,222.0,6.9,36.0,1.125,5.0,0.15625,29.0,0.90625,33.0,,,7.0,1098:00,34:18,49.0,173.0
Sterling Brown,2017,52,Shooting Guard/Small Forward,2016-2017,SMU,Sr.,G,6-6,35,161.0,61.0,87.0,470.0,13.428571428571429,351.0,45.86894586894587,,136.0,44.85294117647059,110.0,79.0909090909091,227.0,4.91,105.0,3.0,19.0,0.5428571428571428,50.0,1.43,68.0,,,6.0,1143:00,,55.0,172.0
Kadeem Allen,2017,53,Shooting Guard,2016-2017,Arizona,Sr.,G,6-3,34,107.0,32.0,86.0,332.0,9.764705882352942,236.0,45.33898305084746,,75.0,42.666666666666664,116.0,74.13793103448276,137.0,4.029411764705882,101.0,2.9705882352941178,21.0,0.6176470588235294,53.0,1.56,65.0,,,,,,12.0,125.0
Dillon Brooks,2017,55,Small Forward,2016-2017,Oregon,Jr.,F,6-7,35,206.0,57.0,95.0,564.0,16.1,422.0,48.8,,142.0,40.140845070422536,126.0,75.39682539682539,113.0,3.2285714285714286,95.0,2.7142857142857144,16.0,0.4571428571428571,38.0,1.0857142857142856,72.0,,,,,,35.0,78.0
Charles Cooke,2017,61,Shooting Guard,2016-2017,Dayton,Sr.,G,6-5,29,151.0,49.0,106.0,457.0,15.8,332.0,45.5,,123.0,39.83739837398374,151.0,70.19867549668874,149.0,5.137931034482759,82.0,2.8275862068965516,28.0,0.9655172413793104,32.0,1.103448275862069,61.0,,,,,,29.0,120.0
Antonio Blakeney,2017,63,Shooting Guard,2016-2017,LSU,So.,G,6-4,31,194.0,53.0,92.0,533.0,17.2,424.0,45.8,,153.0,34.64052287581699,127.0,72.44094488188976,152.0,4.903225806451613,54.0,1.7419354838709675,3.0,0.0967741935483871,22.0,0.7096774193548387,70.0,,,,,,32.0,120.0
Devin Robinson,2017,65,Small Forward/Power Forward,2016-2017,Florida,Jr.,F,6-8,36,142.0,43.0,73.0,400.0,11.11111111111111,299.0,47.491638795986624,,110.0,39.09090909090909,101.0,72.27722772277228,220.0,6.111111111111111,23.0,0.6388888888888888,29.0,0.8055555555555556,31.0,0.8611111111111112,39.0,,,,,,62.0,158.0
Nigel Williams-Goss,2017,66,Point Guard,2016-2017,Gonzaga,Jr.,G,6-3,38,220.0,43.0,157.0,640.0,16.8,453.0,48.6,,117.0,36.75213675213675,181.0,86.7,227.0,5.39,179.0,4.7,3.0,0.0789473684210526,64.0,1.68,82.0,2.18,,,1241:00,,22.0,205.0
Isaiah Hicks,2017,67,Power Forward,2016-2017,North Carolina,Sr.,F,6-8,39,174.0,0.0,113.0,461.0,11.82051282051282,302.0,57.615894039735096,,0.0,,145.0,77.9,213.0,5.461538461538462,55.0,1.4102564102564104,29.0,0.7435897435897436,16.0,0.4102564102564102,64.0,,,,,,72.0,141.0
Thomas Bryant,2017,68,Center,2016-2017,Indiana,So.,C,6-10,34,142.0,23.0,107.0,414.0,12.176470588235292,274.0,51.824817518248175,,59.0,38.983050847457626,147.0,72.78911564625851,226.0,6.6,47.0,1.3823529411764706,52.0,1.53,25.0,0.7352941176470589,75.0,,,7.0,,,76.0,150.0
Davon Reed,2017,72,Shooting Guard/Small Forward,2016-2017,Miami (FL),Sr.,G,6-6,33,161.0,79.0,90.0,491.0,14.87878787878788,372.0,43.27956989247312,2.39,199.0,39.69849246231155,108.0,83.3,158.0,4.787878787878788,79.0,2.393939393939394,16.0,0.4848484848484848,43.0,1.303030303030303,67.0,,,,1165:00,35:18,28.0,130.0
Chris Boucher,2017,74,Power Forward/Center,2016-2017,Oregon,Sr.,F,6-10,31,141.0,36.0,48.0,366.0,11.806451612903226,269.0,52.41635687732342,,103.0,34.95145631067961,85.0,56.47058823529411,188.0,6.064516129032258,13.0,0.4193548387096774,79.0,2.55,12.0,0.3870967741935484,32.0,,,,,,54.0,134.0
Jacob Wiley,2017,79,Power Forward,2016-2017,Eastern Wash.,Sr.,F,6-7,34,265.0,5.0,159.0,694.0,20.4,412.0,64.3,,,,192.0,82.8,309.0,9.1,,,94.0,2.76,,,,,,11.0,1165:00,34:15,95.0,214.0
Eric Mika,2017,83,Power Forward/Center,2016-2017,BYU,So.,F,6-10,34,233.0,0.0,225.0,691.0,20.3,441.0,52.8,,1.0,0.0,295.0,76.27118644067797,312.0,9.2,56.0,1.6470588235294117,63.0,1.85,19.0,0.5588235294117647,84.0,,,17.0,,,104.0,208.0
Luke Kornet,2017,84,Center,2016-2017,Vanderbilt,Sr.,F,6-10,35,145.0,53.0,120.0,463.0,13.228571428571428,357.0,40.61624649859944,,162.0,32.71604938271605,140.0,85.7,217.0,6.2,42.0,1.2,71.0,2.03,19.0,0.5428571428571428,45.0,,,5.0,1101:00,,53.0,164.0
Isaiah Briscoe,2017,85,Point Guard/Shooting Guard,2016-2017,Kentucky,So.,G,6-3,36,163.0,17.0,94.0,437.0,12.13888888888889,347.0,46.97406340057637,,59.0,28.8135593220339,148.0,63.51351351351352,195.0,5.416666666666667,151.0,4.2,7.0,0.1944444444444444,30.0,0.8333333333333334,89.0,1.7,1.0,,1095:00,,53.0,142.0
Jabari Bird,2017,92,Shooting Guard,2016-2017,California,Sr.,G,6-6,27,140.0,65.0,42.0,387.0,14.333333333333334,319.0,43.8871473354232,2.41,179.0,36.312849162011176,55.0,76.36363636363636,127.0,4.703703703703703,28.0,1.037037037037037,6.0,0.2222222222222222,18.0,0.6666666666666666,50.0,,,,,,26.0,101.0
Jamel Artis,2017,93,Small Forward,2016-2017,Pittsburgh,Sr.,F,6-7,32,196.0,74.0,116.0,582.0,18.2,413.0,47.5,2.31,189.0,39.15343915343915,158.0,73.41772151898734,156.0,4.875,106.0,3.3125,9.0,0.28125,13.0,0.40625,83.0,,,,1097:00,34:16,40.0,116.0
Nigel Hayes,2017,94,Power Forward,2016-2017,Wisconsin,Sr.,F,6-8,37,180.0,22.0,135.0,517.0,13.972972972972974,394.0,45.68527918781726,,70.0,31.428571428571427,230.0,58.69565217391305,245.0,6.6,100.0,2.702702702702702,14.0,0.3783783783783784,28.0,0.7567567567567568,63.0,,,8.0,1198:00,,82.0,163.0
Xavier Rathan-Mayes,2017,96,Point Guard/Shooting Guard,2016-2017,Florida St.,Jr.,G,6-4,35,134.0,40.0,62.0,370.0,10.571428571428571,296.0,45.270270270270274,,124.0,32.25806451612903,117.0,52.99145299145299,112.0,3.2,168.0,4.8,4.0,0.1142857142857142,33.0,0.9428571428571428,65.0,2.58,,,,,22.0,90.0
Deandre Ayton,2018,1,Center,2017-2018,Arizona,Fr.,F,7-1,35,276.0,12.0,140.0,704.0,20.1,451.0,61.2,,35.0,34.285714285714285,191.0,73.29842931937172,405.0,11.6,57.0,1.6285714285714286,66.0,1.89,20.0,0.5714285714285714,69.0,,,24.0,1172:00,33:29,118.0,287.0
Jaren Jackson Jr.,2018,4,Power Forward/Center,2017-2018,Michigan St.,Fr.,F,6-11,35,119.0,38.0,106.0,382.0,10.914285714285716,232.0,51.293103448275865,,96.0,39.583333333333336,133.0,79.7,203.0,5.8,39.0,1.1142857142857143,106.0,3.03,21.0,0.6,62.0,,,6.0,,,52.0,151.0
Trae Young,2018,5,Point Guard,2017-2018,Oklahoma,Fr.,G,6-2,32,261.0,118.0,236.0,876.0,27.4,618.0,42.23300970873787,3.69,328.0,36.0,274.0,86.1,125.0,3.90625,279.0,8.7,8.0,0.25,54.0,1.69,167.0,1.67,,12.0,1133:00,35:24,14.0,111.0
Wendell Carter,2018,6,Center,2017-2018,Duke,Fr.,F,6-10,37,179.0,19.0,124.0,501.0,13.54054054054054,319.0,56.1128526645768,,46.0,41.30434782608695,168.0,73.80952380952381,335.0,9.1,74.0,2.0,76.0,2.05,30.0,0.8108108108108109,75.0,,,16.0,,,109.0,226.0
Mikal Bridges,2018,8,Shooting Guard/Small Forward,2017-2018,Villanova,Jr.,F,6-7,40,244.0,104.0,114.0,706.0,17.7,475.0,51.4,2.6,239.0,43.5,134.0,85.1,212.0,5.3,77.0,1.925,43.0,1.08,61.0,1.53,54.0,,,,1286:00,,54.0,158.0
Mohamed Bamba,2018,9,Center,2017-2018,Texas,Fr.,F,6-11,30,146.0,14.0,81.0,387.0,12.9,270.0,54.07407407407408,,51.0,27.45098039215686,119.0,68.0672268907563,316.0,10.5,15.0,0.5,111.0,3.7,23.0,0.7666666666666667,46.0,,,15.0,,,96.0,220.0
Shai Gilgeous-Alexander,2018,10,Point Guard,2017-2018,Kentucky,Fr.,G,6-6,37,183.0,23.0,143.0,532.0,14.37837837837838,377.0,48.54111405835544,,57.0,40.35087719298246,175.0,81.7,153.0,4.135135135135135,189.0,5.1,18.0,0.4864864864864865,61.0,1.65,100.0,1.89,,,1248:00,33:43,33.0,120.0
Jerome Robinson,2018,11,Shooting Guard,2017-2018,Boston College,Jr.,G,6-5,35,249.0,81.0,146.0,725.0,20.7,513.0,48.5,2.31,198.0,40.90909090909091,176.0,83.0,126.0,3.6,116.0,3.3142857142857145,5.0,0.1428571428571428,30.0,0.8571428571428571,96.0,,,,1260:00,36:00,17.0,109.0
Donte DiVincenzo,2018,12,Shooting Guard,2017-2018,Villanova,Jr.,G,6-5,40,188.0,85.0,76.0,537.0,13.425,391.0,48.08184143222506,,212.0,40.094339622641506,107.0,71.02803738317758,190.0,4.75,139.0,3.5,8.0,0.2,42.0,1.05,79.0,1.76,,,1171:00,,46.0,144.0
Zhaire Smith,2018,13,Shooting Guard,2017-2018,Texas Tech,Fr.,G,6-5,37,154.0,18.0,91.0,417.0,11.27027027027027,277.0,55.5956678700361,,40.0,45.0,127.0,71.65354330708661,185.0,2.24,66.0,1.7837837837837838,42.0,1.14,42.0,1.135135135135135,41.0,,,,,,83.0,102.0
Collin Sexton,2018,14,Point Guard,2017-2018,Alabama,Fr.,G,6-3,33,196.0,44.0,196.0,632.0,19.2,438.0,44.7,,131.0,33.587786259541986,252.0,77.77777777777777,124.0,3.757575757575758,119.0,3.6,3.0,0.0909090909090909,28.0,0.8484848484848485,92.0,,,,,,34.0,90.0
Kevin Knox,2018,15,Small Forward/Power Forward,2017-2018,Kentucky,Fr.,F,6-9,37,196.0,57.0,127.0,576.0,15.567567567567568,440.0,44.5,,167.0,34.131736526946106,164.0,77.4390243902439,200.0,5.405405405405405,53.0,1.4324324324324325,10.0,0.2702702702702703,31.0,0.8378378378378378,85.0,,,,1198:00,,33.0,167.0
Kevin Huerter,2018,17,Shooting Guard,2017-2018,Maryland,So.,G,6-7,32,162.0,73.0,75.0,472.0,14.75,322.0,50.3,2.28,175.0,41.714285714285715,99.0,75.75757575757575,161.0,5.03125,108.0,3.375,21.0,0.65625,20.0,0.625,80.0,,,,1101:00,34:24,31.0,130.0
Miles Bridges,2018,18,Small Forward/Power Forward,2017-2018,Michigan St.,So.,F,6-7,34,209.0,71.0,93.0,582.0,17.1,457.0,45.7,,195.0,36.41025641025641,109.0,85.3,237.0,7.0,92.0,2.7058823529411766,26.0,0.7647058823529411,21.0,0.6176470588235294,67.0,,,,,,43.0,194.0
Robert Williams,2018,19,Power Forward/Center,2017-2018,Texas A&M,So.,F,6-9,30,139.0,0.0,33.0,311.0,10.366666666666667,220.0,63.18181818181818,,12.0,0.0,70.0,47.142857142857146,277.0,9.2,43.0,1.4333333333333331,78.0,2.6,24.0,0.8,52.0,,,7.0,,,71.0,206.0
Troy Brown,2018,20,Shooting Guard,2017-2018,Oregon,Fr.,F,6-7,35,143.0,32.0,78.0,396.0,11.314285714285717,322.0,44.409937888198755,,110.0,29.09090909090909,105.0,74.28571428571429,217.0,6.2,111.0,3.1714285714285713,7.0,0.2,55.0,1.57,86.0,,,,1093:00,,53.0,164.0
Khyri Thomas,2018,21,Shooting Guard,2017-2018,Creighton,Jr.,G,6-3,33,184.0,62.0,67.0,497.0,15.06060606060606,342.0,53.8,,151.0,41.05960264900662,85.0,78.82352941176471,144.0,4.363636363636363,92.0,2.787878787878788,8.0,0.2424242424242424,56.0,1.7,59.0,,,,,,35.0,109.0
Grayson Allen,2018,23,Shooting Guard,2017-2018,Duke,Sr.,G,6-5,37,181.0,102.0,108.0,572.0,15.45945945945946,433.0,41.801385681293304,2.76,276.0,37.0,127.0,85.0,123.0,3.324324324324324,172.0,4.6,2.0,0.054054054054054,64.0,1.73,79.0,2.18,,,1319:00,35:38,20.0,103.0
Chandler Hutchison,2018,24,Shooting Guard/Small Forward,2017-2018,Boise St.,Sr.,G,6-7,31,205.0,46.0,163.0,619.0,20.0,432.0,47.5,,128.0,35.9375,224.0,72.76785714285714,238.0,7.7,107.0,3.4516129032258065,8.0,0.2580645161290322,46.0,1.48,104.0,,1.0,12.0,,,27.0,211.0
Aaron Holiday,2018,28,Point Guard,2017-2018,UCLA,Jr.,G,6-1,33,212.0,88.0,159.0,671.0,20.3,460.0,46.1,2.67,205.0,42.9,192.0,82.8,121.0,3.6666666666666665,192.0,5.8,8.0,0.2424242424242424,42.0,1.2727272727272727,125.0,,,,1244:00,37:41,17.0,104.0
Moritz Wagner,2018,29,Power Forward/Center,2017-2018,Michigan,Jr.,F,6-11,39,216.0,63.0,75.0,570.0,14.615384615384617,409.0,52.8,,160.0,39.375,108.0,69.44444444444444,278.0,7.1,33.0,0.8461538461538461,20.0,0.5128205128205128,38.0,0.9743589743589745,56.0,,,8.0,,,57.0,221.0
Josh Okogie,2018,30,Shooting Guard/Small Forward,2017-2018,Georgia Tech,So.,G,6-4,24,133.0,38.0,133.0,437.0,18.2,320.0,41.5625,,100.0,38.0,162.0,82.1,150.0,2.25,59.0,2.4583333333333335,23.0,0.9583333333333334,42.0,1.75,61.0,,,,873:00,36:22,54.0,96.0
Jacob Evans,2018,31,Shooting Guard/Small Forward,2017-2018,Cincinnati,Jr.,G,6-6,36,161.0,60.0,86.0,468.0,13.0,377.0,42.705570291777185,,162.0,37.03703703703704,114.0,75.43859649122807,170.0,4.722222222222222,113.0,3.138888888888889,35.0,0.9722222222222222,47.0,1.3055555555555556,63.0,1.79,,,1107:00,,50.0,120.0
Landry Shamet,2018,32,Point Guard/Shooting Guard,2017-2018,Wichita St.,So.,G,6-4,32,154.0,84.0,85.0,477.0,14.90625,315.0,48.888888888888886,2.63,190.0,44.2,103.0,82.5,103.0,3.21875,166.0,5.2,6.0,0.1875,23.0,0.71875,67.0,2.48,,,,,14.0,89.0
Jalen Brunson,2018,33,Point Guard,2017-2018,Villanova,Jr.,G,6-3,40,270.0,86.0,130.0,756.0,18.9,518.0,52.1,2.15,211.0,40.75829383886256,162.0,80.2,122.0,3.05,184.0,4.6,1.0,0.025,37.0,0.925,71.0,2.59,,,1272:00,,12.0,110.0
Omari Spellman,2018,36,Power Forward/Center,2017-2018,Villanova,Fr.,F,6-9,40,160.0,65.0,49.0,434.0,10.85,336.0,47.61904761904762,,150.0,43.333333333333336,70.0,70.0,321.0,8.0,30.0,0.75,59.0,1.48,26.0,0.65,40.0,,,11.0,1125:00,,90.0,231.0
Keita Bates-Diop,2018,37,Small Forward/Power Forward,2017-2018,Ohio St.,Jr.,F,6-7,34,247.0,66.0,112.0,672.0,19.8,515.0,48.0,,184.0,35.869565217391305,141.0,79.4,296.0,8.7,56.0,1.6470588235294117,56.0,1.65,31.0,0.9117647058823528,62.0,,,13.0,1125:00,,52.0,244.0
Melvin Frazier,2018,39,Shooting Guard/Small Forward,2017-2018,Tulane,Jr.,G,6-6,30,179.0,35.0,84.0,477.0,15.9,322.0,55.6,,91.0,38.46153846153846,118.0,71.1864406779661,168.0,5.6,86.0,2.8666666666666667,22.0,0.7333333333333333,63.0,2.1,77.0,,,5.0,1032:00,34:24,35.0,133.0
Trevon Duval,2018,42,Point Guard,2017-2018,Duke,Fr.,G,6-3,37,148.0,31.0,53.0,380.0,10.27027027027027,346.0,42.77456647398843,,107.0,28.97196261682243,89.0,59.550561797752806,73.0,1.972972972972973,207.0,5.6,5.0,0.1351351351351351,54.0,1.46,102.0,2.03,,,1103:00,,20.0,53.0
Alize Johnson,2018,45,Power Forward,2017-2018,Missouri St.,Sr.,F,6-9,33,172.0,41.0,110.0,495.0,15.0,400.0,43.0,,146.0,28.08219178082192,145.0,75.86206896551724,384.0,11.6,94.0,2.8484848484848486,14.0,0.4242424242424242,15.0,0.4545454545454545,74.0,,,20.0,,,104.0,280.0
Chimezie Metu,2018,46,Power Forward/Center,2017-2018,Southern California,Jr.,F,6-11,34,205.0,12.0,111.0,533.0,15.7,392.0,52.3,,40.0,30.0,152.0,73.02631578947368,253.0,7.4,53.0,1.5588235294117647,59.0,1.74,27.0,0.7941176470588235,68.0,,,11.0,,,64.0,189.0
Sviatoslav Mykhailiuk,2018,48,Shooting Guard,2017-2018,Kansas,Sr.,G,6-8,39,205.0,115.0,45.0,570.0,14.615384615384617,472.0,43.432203389830505,2.95,259.0,44.4,56.0,80.35714285714286,153.0,3.923076923076923,107.0,2.7435897435897436,12.0,0.3076923076923077,46.0,1.1794871794871795,65.0,,,,1346:00,34:30,44.0,109.0
Bruce Brown,2018,52,Shooting Guard,2017-2018,Miami (FL),So.,G,6-5,19,78.0,16.0,44.0,216.0,11.36842105263158,188.0,41.48936170212766,,60.0,26.666666666666668,70.0,62.857142857142854,135.0,7.105263157894737,76.0,4.0,15.0,0.7894736842105263,25.0,1.3157894736842106,43.0,,1.0,,,,25.0,110.0
Kevin Hervey,2018,55,Small Forward/Power Forward,2017-2018,UT Arlington,Sr.,F,6-7,33,243.0,77.0,113.0,676.0,20.5,545.0,44.6,2.33,227.0,33.92070484581498,140.0,80.7,282.0,8.5,73.0,2.212121212121212,20.0,0.6060606060606061,41.0,1.2424242424242424,90.0,,,11.0,,,77.0,205.0
Jevon Carter,2018,56,Point Guard,2017-2018,West Virginia,Sr.,G,6-2,37,215.0,77.0,133.0,640.0,17.3,509.0,42.23968565815324,,196.0,39.285714285714285,155.0,85.8,172.0,4.648648648648648,246.0,6.6,13.0,0.3513513513513513,112.0,3.03,98.0,2.51,,,1313:00,35:29,29.0,143.0
Kenrich Williams,2018,60,Small Forward,2017-2018,TCU,Sr.,G,6-7,32,155.0,45.0,66.0,421.0,13.15625,325.0,47.69230769230769,,114.0,39.473684210526315,96.0,68.75,297.0,9.3,124.0,3.9,15.0,0.46875,56.0,1.75,65.0,1.91,,13.0,1153:00,36:01,89.0,208.0
Kelan Martin,2018,61,Small Forward/Power Forward,2017-2018,Butler,Sr.,F,6-7,35,259.0,95.0,130.0,743.0,21.2,580.0,44.7,2.71,261.0,36.4,154.0,84.4,219.0,5.31,70.0,2.0,16.0,0.4571428571428571,26.0,0.7428571428571429,84.0,,,5.0,1249:00,35:41,33.0,186.0
Malik Newman,2018,62,Shooting Guard,2017-2018,Kansas,So.,G,6-3,39,186.0,85.0,96.0,553.0,14.17948717948718,402.0,46.26865671641791,2.18,205.0,41.46341463414634,115.0,83.47826086956522,196.0,5.0256410256410255,82.0,2.102564102564102,6.0,0.1538461538461538,42.0,1.0769230769230769,57.0,,,,1234:00,,20.0,176.0
Yante Maten,2018,64,Power Forward,2017-2018,Georgia,Sr.,F,6-8,33,207.0,29.0,193.0,636.0,19.3,446.0,46.4,,85.0,34.11764705882353,241.0,80.1,283.0,8.6,51.0,1.5454545454545454,49.0,1.48,15.0,0.4545454545454545,67.0,,,14.0,1131:00,34:16,116.0,167.0
Allonzo Trier,2018,67,Shooting Guard,2017-2018,Arizona,Jr.,G,6-5,33,184.0,70.0,160.0,598.0,18.1,368.0,50.0,,184.0,38.04347826086956,185.0,86.5,100.0,3.0303030303030303,107.0,3.242424242424242,11.0,0.3333333333333333,21.0,0.6363636363636364,70.0,,,,1124:00,34:03,11.0,89.0
Tyler Davis,2018,71,Center,2017-2018,Texas A&M,Jr.,C,6-10,35,206.0,7.0,101.0,520.0,14.857142857142858,352.0,58.5,,25.0,28.0,162.0,62.34567901234568,313.0,8.9,44.0,1.2571428571428571,47.0,1.34,12.0,0.3428571428571428,70.0,,,12.0,,,123.0,190.0
Jaylen Adams,2018,73,Point Guard/Shooting Guard,2017-2018,St. Bonaventure,Jr.,G,6-5,28,153.0,75.0,154.0,535.0,19.1,350.0,43.714285714285715,2.68,172.0,43.6,181.0,85.1,95.0,3.392857142857143,146.0,5.2,7.0,0.25,43.0,1.54,86.0,1.7,,,1036:00,37:00,12.0,83.0
Gary Clark,2018,74,Power Forward,2017-2018,Cincinnati,Sr.,F,6-8,36,160.0,27.0,117.0,464.0,12.88888888888889,304.0,52.63157894736842,,62.0,43.54838709677419,158.0,74.0506329113924,313.0,8.7,76.0,2.111111111111111,44.0,1.22,51.0,1.42,36.0,,,14.0,,,107.0,206.0
Devon Hall,2018,76,Point Guard/Shooting Guard,2017-2018,Virginia,Sr.,G,6-5,34,132.0,57.0,76.0,397.0,11.676470588235292,291.0,45.36082474226804,,132.0,43.18181818181818,85.0,89.41176470588235,143.0,4.205882352941177,107.0,3.1470588235294117,5.0,0.1470588235294117,29.0,0.8529411764705882,35.0,3.06,,,,,12.0,131.0
Bonzie Colson,2018,78,Small Forward/Power Forward,2017-2018,Notre Dame,Sr.,F,6-5,21,157.0,17.0,83.0,414.0,19.714285714285715,312.0,50.32051282051282,,58.0,29.310344827586206,109.0,76.14678899082568,212.0,10.095238095238097,19.0,0.9047619047619048,47.0,2.238095238095238,35.0,1.6666666666666667,32.0,,,11.0,,,48.0,164.0
Johnathan Williams,2018,79,Power Forward,2017-2018,Gonzaga,Sr.,F,6-9,37,197.0,8.0,94.0,496.0,13.405405405405403,350.0,56.3,,35.0,22.857142857142858,174.0,54.02298850574713,313.0,8.5,59.0,1.5945945945945943,40.0,1.08,27.0,0.7297297297297297,80.0,,,15.0,,,87.0,226.0
Deng Adel,2018,80,Small Forward,2017-2018,Louisville,Jr.,F,6-7,34,178.0,50.0,103.0,507.0,14.911764705882351,397.0,44.8,,143.0,34.96503496503497,131.0,78.62595419847328,176.0,5.176470588235294,94.0,2.764705882352941,11.0,0.3235294117647059,21.0,0.6176470588235294,77.0,,,,1126:00,,22.0,154.0
Theo Pinson,2018,83,Shooting Guard,2017-2018,North Carolina,Sr.,G,6-6,37,130.0,12.0,108.0,380.0,10.27027027027027,275.0,47.27272727272727,,53.0,22.641509433962263,132.0,81.8,240.0,5.0,187.0,5.1,20.0,0.5405405405405406,40.0,1.0810810810810811,89.0,2.1,,7.0,1100:00,,55.0,185.0
Kostas Antetokounmpo,2018,86,Small Forward/Power Forward,2017-2018,Dayton,Fr.,F,6-10,29,58.0,2.0,33.0,151.0,5.206896551724138,101.0,57.42574257425743,,15.0,13.333333333333334,64.0,51.5625,83.0,2.8620689655172415,13.0,0.4482758620689655,31.0,1.07,7.0,0.2413793103448276,39.0,,,,,,24.0,59.0
Wenyen Gabriel,2018,91,Small Forward/Power Forward,2017-2018,Kentucky,So.,F,6-9,37,87.0,42.0,35.0,251.0,6.783783783783784,197.0,44.16243654822335,,106.0,39.62264150943396,56.0,62.5,198.0,5.351351351351352,21.0,0.5675675675675675,40.0,1.08,30.0,0.8108108108108109,41.0,,,,,,65.0,133.0
Jared Terrell,2018,92,Shooting Guard,2017-2018,Rhode Island,Sr.,G,6-3,34,191.0,75.0,115.0,572.0,16.8,447.0,42.72930648769575,2.21,181.0,41.43646408839779,140.0,82.1,119.0,3.5,80.0,2.3529411764705883,7.0,0.2058823529411764,50.0,1.47,59.0,,,,1128:00,,32.0,87.0
Chris Chiozza,2018,97,Point Guard,2017-2018,Florida,Sr.,G,6-0,34,131.0,38.0,76.0,376.0,11.058823529411764,314.0,41.71974522292994,,109.0,34.862385321100916,94.0,80.85106382978724,147.0,4.323529411764706,208.0,6.1,4.0,0.1176470588235294,65.0,1.91,61.0,3.41,,,,,18.0,129.0
Kendrick Nunn,2018,100,Shooting Guard,2017-2018,Oakland,Sr.,G,6-3,30,262.0,134.0,119.0,777.0,25.9,602.0,43.521594684385384,4.47,340.0,39.4,142.0,83.8,142.0,4.733333333333333,113.0,3.8,11.0,0.3666666666666666,45.0,1.5,88.0,,,,1136:00,37:52,27.0,115.0
Zion Williamson,2019,1,Power Forward,2018-2019,Duke,Fr.,F,6-7,33,296.0,24.0,130.0,746.0,22.6,435.0,68.0,,71.0,33.80281690140845,203.0,64.03940886699507,293.0,8.9,68.0,2.060606060606061,59.0,1.79,70.0,2.12,78.0,,,14.0,,,116.0,177.0
Ja Morant,2019,2,Point Guard,2018-2019,Murray St.,So.,G,6-3,33,265.0,57.0,221.0,808.0,24.5,531.0,49.9,,157.0,36.30573248407644,272.0,81.3,188.0,5.696969696969697,331.0,10.0,27.0,0.8181818181818182,58.0,1.76,170.0,1.95,3.0,20.0,1205:26,36:31,40.0,148.0
